project_id,bbl,validated_borough,validated_block,validated_lot,validated,validated_date
2020M0429,1012620009,Manhattan,1262,9,true,2022-03-04T01:19:21.000
2020M0429,1012620017,Manhattan,1262,17,true,2022-03-04T01:19:14.000
2020M0429,1012620018,Manhattan,1262,18,true,2022-03-04T01:19:09.000
2020M0429,1012620019,Manhattan,1262,19,true,2022-03-04T01:19:19.000
2020M0429,1012620020,Manhattan,1262,20,true,2022-03-04T01:19:11.000
2020M0429,1012620021,Manhattan,1262,21,true,2022-03-04T01:18:52.000
2020M0429,1012620023,Manhattan,1262,23,true,2022-03-04T01:19:08.000
2020M0429,1012620024,Manhattan,1262,24,true,2022-03-04T01:19:04.000
2020M0429,1012620029,Manhattan,1262,29,true,2022-03-04T01:14:50.000
2020M0429,1012620030,Manhattan,1262,30,true,2022-03-04T01:14:39.000
2020M0429,1012620031,Manhattan,1262,31,true,2022-03-04T01:14:35.000
2020M0429,1012620032,Manhattan,1262,32,true,2022-03-04T01:14:47.000
2020M0429,1012620033,Manhattan,1262,33,true,2022-03-04T01:14:33.000
2020M0429,1012620034,Manhattan,1262,34,true,2022-03-04T01:14:31.000
2020M0429,1012620035,Manhattan,1262,35,true,2022-03-04T01:15:07.000
2020M0429,1012620035,Manhattan,1262,35,true,2022-03-04T01:14:30.000
2020M0429,1012620037,Manhattan,1262,37,true,2022-03-04T01:15:08.000
2020M0429,1012620037,Manhattan,1262,37,true,2022-03-04T01:13:59.000
2020M0429,1012620038,Manhattan,1262,38,true,2022-03-04T01:14:04.000
2020M0429,1012620039,Manhattan,1262,39,true,2022-03-04T01:14:08.000
2020M0429,1012620042,Manhattan,1262,42,true,2022-03-04T01:14:22.000
2020M0429,1012620045,Manhattan,1262,45,true,2022-03-04T01:15:12.000
2020M0429,1012620045,Manhattan,1262,45,true,2022-03-04T01:14:24.000
2020M0429,1012620048,Manhattan,1262,48,true,2022-03-04T01:19:33.000
2020M0429,1012620052,Manhattan,1262,52,true,2022-03-04T01:19:44.000
2020M0429,1012620053,Manhattan,1262,53,true,2022-03-04T01:19:30.000
2020M0429,1012620054,Manhattan,1262,54,true,2022-03-04T01:19:29.000
2020M0429,1012620056,Manhattan,1262,56,true,2022-03-04T01:19:26.000
2020M0429,1012620063,Manhattan,1262,63,true,2022-03-04T01:19:24.000
2020M0429,1012620117,Manhattan,1262,117,true,2022-03-04T01:19:13.000
2020M0429,1012620123,Manhattan,1262,123,true,2022-03-04T01:18:57.000
2020M0429,1012620127,Manhattan,1262,127,true,2022-03-04T01:18:59.000
2020M0429,1012620130,Manhattan,1262,130,true,2022-03-04T01:14:36.000
2020M0429,1012627501,Manhattan,1262,7501,true,2022-03-04T01:19:16.000
2020M0429,1012627502,Manhattan,1262,7502,true,2022-03-04T01:19:25.000
2022M0258,1017670001,Manhattan,1767,1,true,2021-12-15T02:10:14.000
2022M0258,1017670002,Manhattan,1767,2,true,2021-12-15T16:05:41.000
2022M0258,1017670003,Manhattan,1767,3,true,2021-12-15T16:05:40.000
2022M0258,1017670004,Manhattan,1767,4,true,2021-12-15T16:05:39.000
2022M0258,1017670067,Manhattan,1767,67,true,2021-12-15T16:05:35.000
2022M0258,1017670068,Manhattan,1767,68,true,2021-12-15T16:05:37.000
2022M0258,1017670069,Manhattan,1767,69,true,2021-12-15T16:05:37.000
2022M0258,1017670071,Manhattan,1767,71,true,2021-12-15T16:05:38.000
2022M0258,1017670072,Manhattan,1767,72,true,2021-12-15T16:05:40.000
2022M0258,1017670168,Manhattan,1767,168,true,2021-12-15T16:05:36.000
2022M0258,1017670169,Manhattan,1767,169,true,2023-07-26T17:19:28.000
2024K0240,3024030001,Brooklyn,2403,1,true,2023-12-06T20:08:48.000
2024K0240,3024030015,Brooklyn,2403,15,true,2023-12-18T20:13:18.000
2024K0240,3024030031,Brooklyn,2403,31,true,2023-12-18T20:13:20.000
2024K0240,3024030033,Brooklyn,2403,33,true,2023-12-18T20:13:21.000
2024K0240,3024030037,Brooklyn,2403,37,true,2023-12-18T20:13:17.000
2024K0240,3024030041,Brooklyn,2403,41,true,2023-12-06T20:10:23.000
2024K0240,3024037501,Brooklyn,2403,7501,true,2023-12-18T20:13:19.000
2024M0193,1010250010,Manhattan,1025,10,true,2023-11-09T23:34:52.000
2024M0193,1010250058,Manhattan,1025,58,true,2023-11-09T23:34:53.000
2024M0193,1010257502,Manhattan,1025,7502,true,2023-11-09T23:34:52.000
2024Q0219,4113840015,Queens,11384,15,true,2023-11-16T14:49:08.000
2024Q0219,4113840024,Queens,11384,24,true,2023-11-16T14:49:07.000
2024Q0219,4113840028,Queens,11384,28,true,2023-11-16T14:49:19.000
2024Q0219,4113840029,Queens,11384,29,true,2023-11-16T14:49:22.000
2024Q0219,4113840032,Queens,11384,32,true,2023-11-16T14:49:17.000
2024Q0219,4113840034,Queens,11384,34,true,2023-11-16T14:49:15.000
